BrandName,Brand ID,Year,Absolut,Aristocrat,Barton,Belvedere,Burnett,Chopin,Crystal Palac,Finlandia,Fleischmann's,Fris,Gilbey's,Gordon's,Grey Goose,Kamchatka,Ketel One,Level,McCormick,Polar Ice,Popov,Pravda,Seagram's,Skol,Sky,Smirnoff,Stolicnaya,Tanqueray,Three Olives,TotalSales,LagTotalSales,2LagTotalSales,LnSales,LnLSales,Ln2Lsales,LnDiff,diff,IfDom,DollarSales,PriceRerUnit,LagPrice,LnPrice,LnLPrice,Mag,News,Outdoor,Broad,Print,LnMag,LnNews,LnOut,LnBroad,LnPrint,Tier1,Tier2,TotalMinusSales,LagTotalMinusSales,TierSales,OutsideTierSales,LagTierSales,LagOutsideTierSales,Firstintro,Marketshare,LagMktshare,YearID,total ad,,,,,,,,
Belvedere,22,2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,369,339,5.899898,5.910797,5.826,-0.0108991,-1%,0,75719,207.4493,240.8672,5.334887,5.484246,1163.6,1,1,2496.1,1164.6,7.059274,0,1.00E-05,7.822485,7.060133,1,0,63795,63759,10605,53190,9953,53806,0,0.0100335,0.0106845,13,4826.3,,,,,,,,
Belvedere,22,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,365,369,5.9428,5.899898,5.910797,0.042902,4%,0,80562,211.4488,207.4493,5.353983,5.334887,1,14.5,14.5,2878,15.5,0,2.674149,2.674149,7.964851,2.74084,1,0,63811,63795,11732,52079,10605,53190,0,0.0097785,0.0100335,14,2923.5,,,,,,,,
Belvedere,22,2007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,381,365,6.016157,5.9428,5.899898,0.0733571,8%,0,88330,215.439,211.4488,5.372678,5.353983,6964.3,2107.1,185.7,2157.6,9071.4,8.848553,7.653068,5.224133,7.676752,9.112882,1,0,63814,63811,12722,51092,11732,52079,0,0.0098638,0.0097785,15,20486.1,,,,,,,,
Burnett,11,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,200,190,5.560682,5.298317,5.247024,0.2623649,30%,1,10777,41.45,,3.724488,,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63644,63672,11618,52026,11809,51863,0,0.0110921,0.0085034,5,6,,,,,,,,
Burnett,11,1998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,260,200,5.736572,5.560682,5.298317,0.17589,19%,1,12850,41.45161,41.45,3.724527,3.724488,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63626,63644,11275,52351,11618,52026,0,0.0124774,0.0110921,6,6,,,,,,,,
Burnett,11,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,310,260,5.783825,5.736572,5.560682,0.0472531,5%,1,13471,41.44923,41.45161,3.724469,3.724527,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63643,63626,11158,52485,11275,52351,0,0.0129425,0.0124774,7,6,,,,,,,,
Burnett,11,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,325,310,6.086775,5.783825,5.736572,0.3029499,35%,1,14093,32.02954,41.44923,3.466659,3.724469,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63560,63643,11426,52134,11158,52485,0,0.016565,0.0129425,8,6,,,,,,,,
Burnett,11,2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,440,325,6.075346,6.086775,5.783825,-0.0114288,-1%,1,19771,45.45057,32.02954,3.816625,3.466659,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63597,63560,11178,52419,11426,52134,0,0.0156503,0.016565,9,6,,,,,,,,
Burnett,11,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,435,440,6.120297,6.075346,6.086775,0.044951,5%,1,20680,45.45055,45.45057,3.816625,3.816625,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63609,63597,11128,52481,11178,52419,0,0.0152946,0.0156503,10,6,,,,,,,,
Burnett,11,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,455,435,6.184149,6.120297,6.075346,0.0638518,7%,1,22043,45.44949,45.45055,3.816602,3.816625,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63611,63609,11276,52335,11128,52481,0,0.0150476,0.0152946,11,6,,,,,,,,
Burnett,11,2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,485,455,6.234411,6.184149,6.120297,0.050262,5%,1,23180,45.45098,45.44949,3.816634,3.816602,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63618,63611,11871,51747,11276,52335,0,0.0147672,0.0150476,12,6,,,,,,,,
Burnett,11,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,510,485,6.300786,6.234411,6.184149,0.0663753,7%,1,24770,45.44954,45.45098,3.816603,3.816634,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63615,63618,11668,51947,11871,51747,0,0.0149816,0.0147672,13,6,,,,,,,,
Burnett,11,2006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,545,510,6.437752,6.300786,6.234411,0.1369658,15%,1,28781,46.0496,45.44954,3.829719,3.816603,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63567,63615,11839,51728,11668,51947,0,0.0160409,0.0149816,14,6,,,,,,,,
Burnett,11,2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,625,545,6.599871,6.437752,6.300786,0.1621194,18%,1,33847,46.05034,46.0496,3.829735,3.829719,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,63489,63567,11833,51656,11839,51728,0,0.0176827,0.0160409,15,6,,,,,,,,
Chopin,25,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,34,38,3.73767,3.526361,3.637586,0.211309,24%,0,10100,240.4762,,5.482621,,3456.8,324.5,1,1,3781.3,8.148099,5.782286,1.00E-05,1.00E-05,8.237823,1,0,63990,63966,7695,56295,7120,56846,0,0.0015111,0.00128,9,7564.6,,,,,,,,
Chopin,25,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,42,34,3.850147,3.73767,3.526361,0.1124771,12%,0,11312,240.6808,240.4762,5.483472,5.482621,2567.5,946.6,1,1,3514.1,7.850688,6.852877,1.00E-05,1.00E-05,8.164538,1,0,64017,63990,8625,55392,7695,56295,0,0.0015799,0.0015111,10,7030.2,,,,,,,,
Chopin,25,2003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,47,42,4.077538,3.850147,3.73767,0.227391,26%,0,14140,239.661,240.6808,5.479226,5.483471,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,1,0,64037,64017,9368,54669,8625,55392,0,0.0018305,0.0015799,11,6,,,,,,,,
Chopin,25,2004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,59,47,4.174387,4.077538,3.850147,0.096849,10%,0,15554,239.2923,239.661,5.477686,5.479226,1,1,1,1,2,0,0,1.00E-05,1.00E-05,1.00E-05,1,0,64063,64037,10257,53806,9368,54669,0,0.0018821,0.0018305,12,6,,,,,,,,
